date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
2014-05-17,0.051719825337900205,12.14073547453394,36.91239303519062,92.54452777777779,,,,8.876116666666666,88.55829545454547,54.498,,33.46875,,2.0,0.11666666666666665,0.611111111111111,7.0,117.06784413726528,1.0
2014-05-18,0.04627852687788656,12.887398388648387,62.892740729112155,46.98222222222222,,,,10.970533333333334,84.45272883235486,,219.6265,14.941,,3.0,-0.13333333333333333,0.5333333333333333,6.8,163.5685215833137,2.0
2014-05-19,0.030704442111732264,6.019282420627366,40.87782700352869,76.90666666666665,,,,12.468366666666666,87.25761057692307,,,,,1.5,-0.11666666666666668,0.65,7.0,115.53084039584137,1.0
2014-05-20,0.060443911919895205,9.247480336981559,55.97218844482237,91.4552,,,,9.947899999999999,104.24479479400908,106.591,26.98675,,,5.0,-0.3,0.7666666666666666,6.95,175.56421810776078,1.0
2014-05-21,0.06566422164358958,8.97809010045242,44.92217783291977,50.00526666666667,,,,10.600311111111111,123.47115481481482,,,1.3363333333333334,8.031,5.0,-0.08888888888888886,0.3333333333333333,6.3999999999999995,119.02647499516604,2.0
2014-05-22,0.06571672218793344,10.206099803679118,37.512717395340196,91.48816666666666,,,,12.627,54.18054988321654,,,14.299,8.066,2.6666666666666665,0.3,0.4833333333333334,6.316666666666666,82.67917191055086,2.0
2014-05-23,0.045283629750880135,13.238728263146868,46.830605491000235,136.7555,,,,10.825342857142857,158.48232756132757,27.2115,11.469666666666669,,,1.3333333333333333,-0.2777777777777778,0.19999999999999998,6.277777777777778,120.86855167736512,1.0
2014-05-24,0.054848128609283904,10.065565784124152,34.24926336902774,85.72242857142857,,,,43.5563888888889,57.57682300660911,40.60925,,23.201,,2.0,-0.31666666666666665,0.6833333333333332,7.066666666666666,100.46744548645626,
2014-05-25,0.11231038675073853,17.206178132584057,32.285300499706054,133.48533333333333,,,,8.94718888888889,58.16080621693121,72.582,,12.12275,,2.0,-0.3333333333333333,0.7777777777777778,7.083333333333333,121.31361336616543,1.0
2014-05-26,0.057530270438272635,8.283049013440992,37.88477968083291,181.46645,,,130.53,13.4277,87.11087049634666,,,,19.7616,4.333333333333333,0.20000000000000004,0.6666666666666666,6.533333333333334,149.1723361437956,2.0
2014-05-27,0.0347464621537599,15.895119196489786,52.09690116514691,55.8677,,,,11.844183333333334,67.723161352657,,51.333,22.926166666666667,16.3955,2.0,-0.033333333333333326,0.2888888888888889,6.066666666666666,115.19952637197434,1.5
2014-05-28,0.09360788376648314,23.792429397150354,42.137818601698626,58.14185714285714,,,44.738625,16.934876023391812,79.49616526374861,64.46008333333333,,5.111,15.360083333333334,6.333333333333333,0.19999999999999998,0.4333333333333333,6.733333333333333,125.70237392945235,2.5
2014-05-29,0.07216589998393656,9.375294888981985,37.214554824561404,68.369,,,,7.799166666666667,104.36678611111113,0.939,,1.5995,,5.0,-0.5777777777777778,0.8666666666666667,7.133333333333333,79.47320589891932,1.0
2014-05-30,0.1142927184733953,11.681592542863045,51.52890404040404,37.17428571428571,,,,9.780100000000001,47.39522985347986,37.59457142857143,2.6906666666666665,9.020583333333335,,8.0,-0.3333333333333333,0.26666666666666666,6.866666666666667,92.52047618156689,
2014-05-31,0.2125195620196316,15.407463768115942,48.03815384615385,,,,,7.019,,,,,,,-0.5,1.0,7.0,31.575518515374934,
2014-06-01,0.0473627517853799,12.162519083969466,115.4657,,,,,11.581285714285714,94.996,,,,,5.0,-1.0,0.6666666666666666,6.833333333333333,56.324955042828314,
2014-06-02,0.0390477390072355,11.834325,70.68531428571428,21.205,,,,7.375666666666667,49.741812499999995,,,8.29325,,1.0,0.3333333333333333,1.0,6.75,124.12747222185132,
2014-06-03,0.0914769431418569,11.526992700729926,50.47817948717949,,,,,7.720999999999999,37.2825,,,2.5362,,1.0,0.4,1.0,7.8,91.81938027663968,9.0
2014-06-04,0.046384854695459,9.522432432432431,56.44332911392405,,,,,7.7548,17.2345,,,,,1.0,0.5,1.0,7.0,93.2832499912807,1.0
2014-06-05,0.1523427216624797,13.994216,25.914081081081083,,,,,9.472,19.10711111111111,75.24566666666668,,,,11.0,0.0,1.0,7.0,40.196423716464295,
2014-06-06,0.1894759745721429,6.568736111111111,38.88463636363636,,,,,9.1035,,,,2.072,,16.0,0.5,1.0,7.5,47.95319297857452,
2014-06-07,0.0818932379421677,125.68744999999998,27.257962962962964,,,,,6.214,53.425,,,,,,-1.0,,8.0,128.61344184431928,2.0
2014-06-08,0.0795101802403203,19.521611111111113,187.7575,,,,,9.0345,190.76,,,,,,-1.5,1.0,6.5,161.59971421105527,
2014-06-09,0.25,,,,,,,,,,,,,,,,,,
